run,imgsz,kind,class,reason,width_bin,count
c4d_26n_960,960,GT,bollard,,8~16px,1605
c4d_26n_960,960,matched,bollard,,8~16px,1250
c4d_26n_960,960,GT,bollard,,<4px,1522
c4d_26n_960,960,matched,bollard,,<4px,747
c4d_26n_960,960,GT,bollard,,>16px,1469
c4d_26n_960,960,matched,bollard,,>16px,1180
c4d_26n_960,960,FN,person,blind,4~8px,112
c4d_26n_960,960,FN,person,blind,8~16px,80
c4d_26n_960,960,FN,person,blind,<4px,3
c4d_26n_960,960,FN,person,blind,>16px,51
c4d_26n_960,960,FN,person,lowconf,4~8px,249
c4d_26n_960,960,FN,person,lowconf,8~16px,178
c4d_26n_960,960,FN,person,lowconf,<4px,7
c4d_26n_960,960,FN,person,lowconf,>16px,76
c4d_26n_960,960,FN,person,merged,4~8px,28
c4d_26n_960,960,FN,person,merged,8~16px,90
c4d_26n_960,960,FN,person,merged,<4px,3
c4d_26n_960,960,FN,person,merged,>16px,69
c4d_26n_960,960,FN,person,nearmiss,4~8px,17
c4d_26n_960,960,FN,person,nearmiss,8~16px,20
c4d_26n_960,960,FN,person,nearmiss,>16px,23
c4d_26n_960,960,FN,bollard,blind,4~8px,159
c4d_26n_960,960,FN,bollard,blind,8~16px,128
c4d_26n_960,960,FN,bollard,blind,<4px,268
c4d_26n_960,960,FN,bollard,blind,>16px,157
c4d_26n_960,960,FN,bollard,lowconf,4~8px,350
c4d_26n_960,960,FN,bollard,lowconf,8~16px,175
c4d_26n_960,960,FN,bollard,lowconf,<4px,462
c4d_26n_960,960,FN,bollard,lowconf,>16px,111
c4d_26n_960,960,FN,bollard,merged,4~8px,29
c4d_26n_960,960,FN,bollard,merged,8~16px,35
c4d_26n_960,960,FN,bollard,merged,<4px,12
c4d_26n_960,960,FN,bollard,merged,>16px,18
c4d_26n_960,960,FN,bollard,nearmiss,4~8px,19
c4d_26n_960,960,FN,bollard,nearmiss,8~16px,17
c4d_26n_960,960,FN,bollard,nearmiss,<4px,33
c4d_26n_960,960,FN,bollard,nearmiss,>16px,3
c4d_26n_960,960,FP,person,confusion,,5
c4d_26n_960,960,FP,person,dup,,181
c4d_26n_960,960,FP,person,ghost,,488
c4d_26n_960,960,FP,person,nearmiss,,69
c4d_26n_960,960,FP,stairs,ghost,,1
c4d_26n_960,960,FP,bollard,dup,,223
c4d_26n_960,960,FP,bollard,ghost,,495
c4d_26n_960,960,FP,bollard,nearmiss,,74
c4d_26n_960,960,sweep_tp@0.25,person,,,3730
c4d_26n_960,960,sweep_fp@0.25,person,,,743
c4d_26n_960,960,sweep_tp@0.25,bollard,,,5012
c4d_26n_960,960,sweep_fp@0.25,bollard,,,792
c4d_26n_960,960,sweep_tp@0.1,person,,,4035
c4d_26n_960,960,sweep_fp@0.1,person,,,1957
c4d_26n_960,960,sweep_tp@0.1,bollard,,,5529
c4d_26n_960,960,sweep_fp@0.1,bollard,,,2270
c4d_26n_960,960,sweep_tp@0.05,person,,,4175
c4d_26n_960,960,sweep_fp@0.05,person,,,3603
c4d_26n_960,960,sweep_tp@0.05,bollard,,,5792
c4d_26n_960,960,sweep_fp@0.05,bollard,,,4092
c4d_26n_960,960,sweep_tp@0.01,person,,,4401
c4d_26n_960,960,sweep_fp@0.01,person,,,13083
c4d_26n_960,960,sweep_tp@0.01,bollard,,,6187
c4d_26n_960,960,sweep_fp@0.01,bollard,,,12451
